timestamp,car_id,est_x,est_y
36.2,1,29.73,-176.29
36.3,1,29.73,-176.29
36.4,1,29.73,-176.29
36.5,1,29.73,-176.29
36.6,1,29.73,-176.29
36.7,1,29.73,-176.29
36.8,1,29.73,-176.29
36.9,1,29.73,-176.29
37.0,1,29.73,-176.29
37.1,1,29.73,-176.29
37.2,1,29.73,-176.29
37.3,1,29.73,-176.29
37.4,1,29.73,-176.29
37.5,1,29.73,-176.29
37.6,1,29.73,-176.29
37.7,1,29.73,-176.29
37.8,1,29.73,-176.29
37.9,1,29.73,-176.29
38.0,1,29.73,-176.29
38.1,1,29.73,-176.29
38.2,1,29.73,-176.29
38.3,1,29.73,-176.29
38.4,1,29.73,-176.29
38.5,1,29.73,-176.29
38.6,1,29.99,133.32
38.7,1,30.0,144.89
38.8,1,30.01,156.45
38.9,1,30.02,168.01
39.0,1,30.03,179.57
39.1,1,30.04,191.14
39.2,1,30.05,202.7
39.3,1,30.06,214.26
39.4,1,30.07,225.82
39.5,1,30.08,237.38
39.6,1,30.09,248.95
39.7,1,30.1,260.51
39.8,1,30.11,272.07
39.9,1,30.12,283.63
40.0,1,30.13,295.2
40.1,1,30.14,306.76
40.2,1,30.15,318.32
40.3,1,30.16,329.88
40.4,1,30.17,341.45
40.5,1,30.18,353.01
40.6,1,30.19,364.57
40.7,1,30.2,376.13
40.8,1,30.21,387.69
40.9,1,30.21,399.26
41.0,1,30.22,410.82
41.1,1,30.23,422.38
41.2,1,30.24,433.94
41.3,1,30.25,445.51
41.4,1,30.26,457.07
41.5,1,30.27,468.63
41.6,1,30.28,480.19
41.7,1,30.29,491.76
41.8,1,30.3,503.32
41.9,1,30.31,514.88
42.0,1,30.32,526.44
42.1,1,30.33,538.0
42.2,1,30.34,549.57
42.3,1,30.35,561.13
42.4,1,30.36,572.69
42.5,1,30.37,584.25
42.6,1,30.38,595.82
42.7,1,30.39,607.38
42.8,1,30.4,618.94
42.9,1,30.41,630.5
43.0,1,30.42,642.07
43.1,1,30.43,653.63
43.2,1,30.44,665.19
43.3,1,30.45,676.75
43.4,1,30.46,688.31
43.5,1,30.47,699.88
43.6,1,30.48,711.44
43.7,1,30.49,723.0
43.8,1,30.5,734.56
43.9,1,30.51,746.13
44.0,1,30.51,757.69
44.1,1,30.52,769.25
44.2,1,30.53,780.81
44.3,1,30.54,792.38
44.4,1,30.55,803.94
44.5,1,30.56,815.5
44.6,1,30.57,827.06
44.7,1,30.58,838.62
44.8,1,30.59,850.19
44.9,1,30.6,861.75
45.0,1,30.61,873.31
45.1,1,30.62,884.87
45.2,1,30.63,896.44
45.3,1,30.64,908.0
45.4,1,30.65,919.56
45.5,1,30.66,931.12
45.6,1,30.67,942.69
45.7,1,30.68,954.25
45.8,1,30.69,965.81
45.9,1,30.7,977.37
46.0,1,30.71,988.93
46.1,1,30.72,1000.5
46.2,1,30.73,1012.06
46.3,1,30.74,1023.62
46.4,1,30.75,1035.18
46.5,1,30.76,1046.75
46.6,1,30.77,1058.31
46.7,1,30.78,1069.87
46.8,1,30.79,1081.43
46.9,1,30.8,1093.0
47.0,1,30.81,1104.56
47.1,1,30.81,1116.12
47.2,1,30.82,1127.68
47.3,1,30.83,1139.24
47.4,1,30.84,1150.81
47.5,1,30.85,1162.37
47.6,1,30.86,1173.93
47.7,1,30.87,1185.49
47.8,1,30.88,1197.06
47.9,1,30.89,1208.62
48.0,1,30.9,1220.18
48.1,1,30.91,1231.74
48.2,1,30.92,1243.31
48.3,1,30.93,1254.87
48.4,1,30.94,1266.43
48.5,1,30.95,1277.99
48.6,1,30.96,1289.55
48.7,1,30.97,1301.12
48.8,1,30.98,1312.68
48.9,1,30.99,1324.24
49.0,1,31.0,1335.8
49.1,1,31.01,1347.37
49.2,1,31.02,1358.93
49.3,1,31.03,1370.49
49.4,1,31.04,1382.05
49.5,1,31.05,1393.62
49.6,1,31.06,1405.18
49.7,1,31.07,1416.74
49.8,1,31.08,1428.3
49.9,1,31.09,1439.86
