timestamp,car_id,est_x,est_y
8.0,1,30.0,202.5
8.1,1,30.0,202.5
8.2,1,30.0,202.5
8.3,1,30.0,202.5
8.4,1,30.0,202.5
8.5,1,30.0,202.5
8.6,1,30.0,202.5
8.7,1,30.0,202.5
8.8,1,30.0,202.5
8.9,1,30.0,202.5
9.0,1,30.0,202.5
9.1,1,30.0,202.5
9.2,1,30.0,202.5
9.3,1,30.0,202.5
9.4,1,30.0,202.5
9.5,1,30.0,202.5
9.6,1,30.0,202.5
9.7,1,30.0,202.5
9.8,1,30.0,202.5
9.9,1,30.0,202.5
10.0,1,30.0,202.5
10.1,1,30.0,202.5
10.2,1,30.0,202.5
10.3,1,30.0,202.5
10.4,1,30.0,202.5
10.5,1,30.0,202.5
10.6,1,30.0,202.5
10.7,1,30.0,202.5
10.8,1,30.0,202.5
10.9,1,30.0,202.5
11.0,1,30.0,202.5
11.1,1,30.0,202.5
11.2,1,30.0,202.5
11.3,1,30.0,202.5
11.4,1,30.0,202.5
11.5,1,30.0,202.5
11.6,1,30.0,202.5
11.7,1,30.0,202.5
11.8,1,30.0,202.5
11.9,1,30.0,202.5
11.9,2,35.0,-200.0
12.0,1,30.0,202.5
12.0,2,35.0,-200.0
12.1,1,30.0,202.5
12.1,2,35.0,-200.0
12.2,1,30.0,202.5
12.2,2,35.0,-200.0
12.3,1,30.0,202.5
12.3,2,35.0,-200.0
12.4,1,30.0,202.5
12.4,2,35.0,-200.0
12.5,1,30.0,142.97
12.5,2,35.0,-200.0
12.6,1,30.0,141.49
12.6,2,35.0,-200.0
12.7,1,30.0,140.02
12.7,2,35.0,-200.0
12.8,1,30.0,138.55
12.8,2,35.0,-200.0
12.9,1,30.0,137.07
12.9,2,35.0,-200.0
13.0,1,30.0,135.6
13.0,2,35.0,-200.0
13.1,1,30.0,134.13
13.1,2,35.0,-200.0
13.2,1,30.0,132.65
13.2,2,35.0,-200.0
13.3,1,30.0,131.18
13.3,2,35.0,-200.0
13.4,1,30.0,129.71
13.4,2,35.0,-200.0
13.5,1,30.0,128.23
13.5,2,35.0,-200.0
13.6,1,30.0,126.76
13.6,2,35.0,-200.0
13.7,1,30.0,125.29
13.7,2,35.0,-200.0
13.8,1,30.0,123.81
13.8,2,35.0,-200.0
13.9,1,30.0,122.34
13.9,2,35.0,-151.99
14.0,1,30.0,120.87
14.0,2,35.0,-150.03
14.1,1,30.0,119.39
14.1,2,35.0,-148.08
14.2,1,30.0,117.92
14.2,2,35.0,-146.12
14.3,1,30.0,116.45
14.3,2,35.0,-144.16
14.4,1,30.0,114.97
14.4,2,35.0,-142.2
14.5,1,30.0,113.5
14.5,2,35.0,-140.25
14.6,1,30.0,112.03
14.6,2,35.0,-138.29
14.7,1,30.0,110.56
14.7,2,35.0,-136.33
14.8,1,30.0,109.08
14.8,2,35.0,-134.37
14.9,1,30.0,107.61
14.9,2,35.0,-132.42
15.0,1,30.0,106.14
15.0,2,35.0,-130.46
15.1,1,30.0,104.66
15.1,2,35.0,-128.5
15.2,1,30.0,103.19
15.2,2,35.0,-126.54
15.3,1,30.0,101.72
15.3,2,35.0,-124.59
15.4,1,30.0,100.24
15.4,2,35.0,-122.63
15.5,1,30.0,98.77
15.5,2,35.0,-120.67
15.6,1,30.0,97.3
15.6,2,35.0,-118.71
15.7,1,30.0,95.82
15.7,2,35.0,-116.76
15.8,1,30.0,94.35
15.8,2,35.0,-114.8
15.9,1,30.0,92.88
15.9,2,35.0,-112.84
16.0,1,30.0,91.4
16.0,2,35.0,-110.88
16.1,1,30.0,89.93
16.1,2,35.0,-108.93
16.2,1,30.0,88.46
16.2,2,35.0,-106.97
16.3,1,30.0,86.98
16.3,2,35.0,-105.01
16.4,1,30.0,85.51
16.4,2,35.0,-103.05
16.5,1,30.0,84.04
16.5,2,35.0,-101.09
16.6,1,30.0,82.56
16.6,2,35.0,-99.14
16.7,1,30.0,81.09
16.7,2,35.0,-97.18
16.8,1,30.0,79.62
16.8,2,35.0,-95.22
16.9,1,30.0,78.14
16.9,2,35.0,-93.26
17.0,1,30.0,76.67
17.0,2,35.0,-91.31
17.1,1,30.0,75.2
17.1,2,35.0,-89.35
17.2,1,30.0,73.72
17.2,2,35.0,-87.39
