timestamp,car_id,est_x,est_y,source,camera_id
8.0,1,30.0,202.5,start,5
12.5,1,30.0,142.5,inner,6
26.9,1,132.5,127.5,inner,12
50.6,1,127.5,0.0,inner,10
70.5,1,30.0,40.0,inner,3
83.4,1,30.0,142.5,inner,6
93.2,1,30.0,202.5,end,5
11.9,2,35.0,-200.0,start,4
13.9,2,35.0,-150.0,inner,1
29.2,2,30.0,-50.0,inner,2
42.4,2,-12.5,2.5,inner,14
50.4,2,-87.5,0.0,inner,18
63.2,2,-125.0,-45.0,inner,27
85.8,2,-12.5,-90.0,inner,13
101.2,2,35.0,-150.0,inner,1
109.5,2,35.0,-200.0,end,4
39.5,3,35.0,-200.0,start,4
41.5,3,35.0,-150.0,inner,1
56.5,3,30.0,-50.0,inner,2
83.8,3,-12.5,87.5,inner,15
96.2,3,-75.0,145.0,inner,21
113.6,3,-87.5,87.5,inner,20
127.8,3,-12.5,87.5,inner,15
138.6,3,30.0,142.5,inner,6
217.8,3,35.0,-200.0,end,4
