timestamp,car_id,est_x,est_y,source,camera_id
11.1,1,35.0,-200.0,start,4
13.3,1,35.0,-150.0,inner,1
28.5,1,30.0,-50.0,inner,2
42.1,1,-12.5,2.5,inner,14
50.5,1,-87.5,0.0,inner,18
63.0,1,-125.0,-45.0,inner,27
75.5,1,-87.5,-92.5,inner,19
85.2,1,-12.5,-90.0,inner,13
100.9,1,35.0,-150.0,inner,1
109.3,1,35.0,-200.0,end,4
50.4,2,35.0,-200.0,start,4
54.4,2,35.0,-150.0,inner,1
68.0,2,30.0,-50.0,inner,2
81.9,2,-12.5,2.5,inner,14
90.2,2,-50.0,-42.5,inner,16
101.7,2,-12.5,-90.0,inner,13
116.7,2,35.0,-150.0,inner,1
124.3,2,35.0,-200.0,end,4
