timestamp,car_id,est_x,est_y
8.7,1,29.78,-176.07
8.8,1,29.78,-176.07
8.9,1,29.78,-176.07
9.0,1,29.78,-176.07
9.1,1,29.78,-176.07
9.2,1,29.78,-176.07
9.3,1,29.78,-176.07
9.4,1,29.78,-176.07
9.5,1,29.78,-176.07
9.6,1,29.78,-176.07
9.7,1,29.78,-176.07
9.8,1,29.78,-176.07
9.9,1,29.78,-176.07
10.0,1,29.78,-176.07
10.1,1,29.78,-176.07
10.2,1,29.78,-176.07
10.3,1,29.78,-176.07
10.4,1,29.78,-176.07
10.5,1,29.78,-176.07
10.6,1,29.78,-176.07
10.6,2,33.4,-189.03
10.7,1,29.78,-176.07
10.7,2,33.4,-189.03
10.8,1,29.78,-176.07
10.8,2,33.4,-189.03
10.9,1,29.78,-176.07
10.9,2,33.4,-189.03
11.0,1,29.78,-176.07
11.0,2,33.4,-189.03
11.1,1,29.78,-176.07
11.1,2,33.4,-189.03
11.2,1,29.78,-176.07
11.2,2,33.4,-189.03
11.3,1,29.99,134.62
11.3,2,33.4,-189.03
11.4,1,30.0,145.72
11.4,2,33.4,-189.03
11.5,1,30.01,156.82
11.5,2,33.4,-189.03
11.6,1,30.02,167.92
11.6,2,33.4,-189.03
11.7,1,30.03,179.03
11.7,2,33.4,-189.03
11.8,1,30.03,190.13
11.8,2,33.4,-189.03
11.9,1,30.04,201.23
11.9,2,33.4,-189.03
12.0,1,30.05,212.34
12.0,2,121.04,-12.98
12.1,1,30.06,223.44
12.1,2,125.03,-4.95
12.2,1,30.06,234.54
12.2,2,129.03,3.07
12.3,1,-104.52,-6.62
12.3,2,133.02,11.1
12.4,1,-112.41,-10.32
12.4,2,137.02,19.12
12.5,1,-120.3,-14.02
12.5,2,141.01,27.15
12.6,1,-128.19,-17.72
12.6,2,145.01,35.17
12.7,1,-136.08,-21.42
12.7,2,149.0,43.2
12.8,1,-143.97,-25.12
12.8,2,153.0,51.22
12.9,1,-151.86,-28.82
12.9,2,156.99,59.25
13.0,1,-159.76,-32.52
13.0,2,160.99,67.27
13.1,1,-167.65,-36.22
13.1,2,164.98,75.3
13.2,1,-175.54,-39.92
13.2,2,168.98,83.32
13.3,1,-183.43,-43.62
13.3,2,172.97,91.34
13.4,1,-191.32,-47.32
13.4,2,176.97,99.37
13.5,1,-199.21,-51.03
13.5,2,180.96,107.39
13.6,1,-207.1,-54.73
13.6,2,184.96,115.42
13.7,1,-214.99,-58.43
13.7,2,188.95,123.44
13.8,1,-222.88,-62.13
13.8,2,192.95,131.47
13.9,1,-230.77,-65.83
13.9,2,42.64,-136.35
14.0,1,-238.66,-69.53
14.0,2,39.72,-140.68
14.1,1,-246.55,-73.23
14.1,2,36.8,-145.02
14.2,1,-254.44,-76.93
14.2,2,33.88,-149.35
14.3,1,-262.33,-80.63
14.3,2,30.96,-153.69
14.4,1,-270.22,-84.33
14.4,2,28.04,-158.02
14.5,1,-278.11,-88.03
14.5,2,25.12,-162.36
14.6,1,-286.01,-91.73
14.6,2,22.2,-166.69
14.7,1,-293.9,-95.43
14.7,2,19.29,-171.02
14.8,1,-301.79,-99.13
14.8,2,16.37,-175.36
14.9,1,-309.68,-102.83
14.9,2,13.45,-179.69
15.0,1,-317.57,-106.54
15.0,2,10.53,-184.03
15.1,1,-325.46,-110.24
15.1,2,7.61,-188.36
15.2,1,-333.35,-113.94
15.2,2,4.69,-192.7
15.3,1,-341.24,-117.64
15.3,2,1.77,-197.03
15.4,1,-349.13,-121.34
15.4,2,-1.15,-201.37
15.5,1,-357.02,-125.04
15.5,2,-4.06,-205.7
15.6,1,-364.91,-128.74
15.6,2,-6.98,-210.03
15.7,1,-372.8,-132.44
15.7,2,-9.9,-214.37
15.8,1,-380.69,-136.14
15.8,2,-12.82,-218.7
15.9,1,-388.58,-139.84
15.9,2,-15.74,-223.04
16.0,1,-396.47,-143.54
16.0,2,-18.66,-227.37
16.1,1,-404.36,-147.24
16.1,2,-21.58,-231.71
16.2,1,-412.26,-150.94
16.2,2,-24.5,-236.04
16.3,1,-420.15,-154.64
16.3,2,-27.42,-240.37
16.4,1,-428.04,-158.34
16.4,2,-30.33,-244.71
16.5,1,-435.93,-162.05
16.5,2,-33.25,-249.04
16.6,1,-443.82,-165.75
16.6,2,-36.17,-253.38
16.7,1,-451.71,-169.45
16.7,2,-39.09,-257.71
16.8,1,-459.6,-173.15
16.8,2,-42.01,-262.05
16.9,1,-467.49,-176.85
16.9,2,-44.93,-266.38
17.0,1,-475.38,-180.55
17.0,2,-47.85,-270.72
17.1,1,-483.27,-184.25
17.1,2,-50.77,-275.05
17.2,1,-491.16,-187.95
17.2,2,-53.68,-279.38
17.3,1,-499.05,-191.65
17.3,2,-56.6,-283.72
17.4,1,-506.94,-195.35
17.4,2,-59.52,-288.05
17.5,1,-514.83,-199.05
17.5,2,-62.44,-292.39
17.6,1,-522.72,-202.75
17.6,2,-65.36,-296.72
17.7,1,-530.62,-206.45
17.7,2,-68.28,-301.06
17.8,1,-538.51,-210.15
17.8,2,-71.2,-305.39
17.9,1,-546.4,-213.85
17.9,2,-74.12,-309.73
18.0,1,-554.29,-217.56
18.0,2,-77.04,-314.06
18.1,1,-562.18,-221.26
18.1,2,-79.95,-318.39
18.2,1,-570.07,-224.96
18.2,2,-82.87,-322.73
18.3,1,-577.96,-228.66
18.3,2,-85.79,-327.06
18.4,1,-585.85,-232.36
18.4,2,-88.71,-331.4
18.5,1,-593.74,-236.06
18.5,2,-91.63,-335.73
18.6,1,-601.63,-239.76
18.6,2,-94.55,-340.07
18.7,1,-609.52,-243.46
18.7,2,-97.47,-344.4
18.8,1,-617.41,-247.16
18.8,2,-100.39,-348.74
18.9,1,-625.3,-250.86
18.9,2,-103.31,-353.07
19.0,1,-633.19,-254.56
19.0,2,-106.22,-357.4
19.1,1,-641.08,-258.26
19.1,2,-109.14,-361.74
19.2,1,-648.97,-261.96
19.2,2,-112.06,-366.07
19.3,1,-656.87,-265.66
19.3,2,-114.98,-370.41
19.4,1,-664.76,-269.37
19.4,2,-117.9,-374.74
19.5,1,-672.65,-273.07
19.5,2,-120.82,-379.08
19.6,1,-680.54,-276.77
19.6,2,-123.74,-383.41
19.7,1,-688.43,-280.47
19.7,2,-126.66,-387.75
19.8,1,-696.32,-284.17
