timestamp,car_id,est_x,est_y,source,camera_id
8.7,1,30.0,202.5,start,5
12.6,1,30.0,142.5,inner,6
24.9,1,72.5,85.0,inner,9
26.8,1,132.5,127.5,inner,12
42.6,1,-12.5,2.5,inner,14
63.2,1,-125.0,-45.0,inner,27
83.2,1,30.0,142.5,inner,6
88.5,1,72.5,85.0,inner,9
92.3,1,30.0,202.5,end,5
10.6,2,35.0,-200.0,start,4
14.0,2,35.0,-150.0,inner,1
28.9,2,30.0,-50.0,inner,2
38.0,2,72.5,85.0,inner,9
50.7,2,127.5,0.0,inner,10
75.7,2,-87.5,-92.5,inner,19
85.8,2,-12.5,-90.0,inner,13
101.1,2,35.0,-150.0,inner,1
109.7,2,35.0,-200.0,end,4
